county,Not.Hispanic_2011,Mexican_2011,Puerto.Rican_2011,Cuban_2011,Other.Hispanic_2011,Not.Hispanic_2021,Mexican_2021,Puerto.Rican_2021,Cuban_2021,Other.Hispanic_2021
Kern,4210,3366,52,7,270,3308,3181,58,12,485
Orange,21963,8036,114,67,1205,21947,8101,120,93,1521
Riverside,11660,7715,131,40,812,12528,8877,129,74,1238
Humboldt,1469,108,5,1,16,1326,80,7,7,32
Santa Barbara,2801,1587,15,1,125,2799,1531,11,9,210
Yolo,1379,448,10,5,65,1477,458,11,2,84
Sonoma,3631,772,24,5,120,3750,851,11,8,197
Stanislaus,2879,1875,16,6,147,2738,1913,33,3,167
Marin,2079,143,13,9,69,2141,138,11,1,152
Butte,1822,263,2,3,54,1833,341,5,8,58
San Joaquin,4027,1984,34,12,188,4010,2442,61,9,290
San Mateo,6051,931,42,19,522,6474,865,37,15,550
Sacramento,10942,2127,78,14,332,12585,2551,103,25,529
San Francisco,6160,512,37,21,449,6660,467,57,17,427
Contra Costa,6910,1243,65,16,506,8395,1667,55,37,697
Santa Cruz,1974,734,3,1,58,1968,592,7,3,76
Ventura,5412,2691,45,6,278,5306,3049,28,20,362
Napa,1081,250,1,6,28,1320,455,2,2,51
Alameda,12775,2308,114,15,704,14312,2445,93,52,905
Solano,3053,590,36,1,156,3238,782,41,18,219
San Diego,21628,8300,201,52,755,20661,8138,223,69,1066
Imperial,480,1246,15,3,52,278,958,6,NA,61
Placer,2449,228,7,7,55,3749,387,37,6,154
Fresno,4600,3866,25,13,249,4572,4056,42,12,340
Santa Clara,14329,3549,86,16,629,16439,3519,78,25,724
San Bernardino,7536,5808,91,47,701,8615,8098,135,58,1384
El Dorado,1407,106,7,1,28,1598,127,10,1,56
Shasta,1663,110,6,1,31,1833,174,5,2,43
Madera,733,652,2,NA,22,593,614,11,1,42
Kings,1010,843,16,4,34,825,756,11,1,79
